Val_STN_Dice_2D,Val_RN_Dice_2D,Val_Loss,Test_STN_Dice_2D,Test_RN_Dice_2D,Test_Loss,STN_val_mean_dice,STN_val_std_dice,STN_val_mean_hd95,STN_val_std_hd95,STN_val_mean_precision,STN_val_std_precision,STN_val_mean_recall,STN_val_std_recall,STN_val_mean_iou,STN_val_std_iou,RN_val_mean_dice,RN_val_std_dice,RN_val_mean_hd95,RN_val_std_hd95,RN_val_mean_precision,RN_val_std_precision,RN_val_mean_recall,RN_val_std_recall,RN_val_mean_iou,RN_val_std_iou,STN_test_mean_dice,STN_test_std_dice,STN_test_mean_hd95,STN_test_std_hd95,STN_test_mean_precision,STN_test_std_precision,STN_test_mean_recall,STN_test_std_recall,STN_test_mean_iou,STN_test_std_iou,RN_test_mean_dice,RN_test_std_dice,RN_test_mean_hd95,RN_test_std_hd95,RN_test_mean_precision,RN_test_std_precision,RN_test_mean_recall,RN_test_std_recall,RN_test_mean_iou,RN_test_std_iou,Loss_Type,Features,Learning_Rate,Weight_Decay,Dropout,Only_Annotated,CE_Weight,FT_Weight
0.7896,0.7514,0.0621,0.8194,0.7962,0.0429,0.7874,0.0843,1.32,0.72,0.7486,0.1077,0.8630,0.1440,0.6573,0.1153,0.7610,0.0548,1.31,0.49,0.8374,0.1214,0.7483,0.1838,0.6174,0.0719,0.8164,0.0430,1.28,0.45,0.8188,0.0522,0.8187,0.0716,0.6919,0.0590,0.7953,0.0184,1.62,0.41,0.9196,0.0527,0.7026,0.0254,0.6605,0.0258,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.1,0.9
0.7896,0.8027,0.2204,0.8112,0.8259,0.2013,0.7773,0.0780,1.64,0.67,0.6903,0.1184,0.9218,0.0971,0.6421,0.1002,0.7818,0.0623,1.05,0.29,0.7337,0.1585,0.8796,0.0771,0.6461,0.0842,0.8099,0.0312,1.42,0.41,0.7448,0.0540,0.8932,0.0544,0.6816,0.0435,0.8272,0.0590,1.23,0.55,0.8221,0.0967,0.8375,0.0294,0.7096,0.0863,CEDice,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.1,0.9
0.7894,0.7819,0.3084,0.8278,0.8386,0.2543,0.7787,0.0821,1.78,0.88,0.7236,0.1327,0.8866,0.1298,0.6449,0.1080,0.7373,0.1446,1.38,0.81,0.6628,0.2292,0.9269,0.0819,0.6033,0.1703,0.8248,0.0147,1.48,0.36,0.7840,0.0581,0.8767,0.0434,0.7021,0.0216,0.8379,0.0496,0.93,0.26,0.7763,0.0811,0.9180,0.0506,0.7243,0.0752,FocalTversky,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.3,0.7
0.7893,0.7764,0.2252,0.8057,0.7899,0.2090,0.7784,0.0823,1.62,0.65,0.7006,0.1244,0.9116,0.1079,0.6443,0.1068,0.7314,0.1322,1.45,0.46,0.6505,0.2107,0.9176,0.0666,0.5931,0.1587,0.8040,0.0250,1.53,0.31,0.7363,0.0632,0.8947,0.0581,0.6730,0.0348,0.7963,0.0955,1.33,0.82,0.7164,0.1264,0.9083,0.0455,0.6715,0.1260,CEDice,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.1,0.9
0.7878,0.7783,0.2365,0.8118,0.8374,0.1863,0.7733,0.0877,1.84,0.97,0.6907,0.1387,0.9204,0.0984,0.6382,0.1097,0.7456,0.1049,1.56,0.67,0.7057,0.2144,0.8764,0.1106,0.6048,0.1250,0.8091,0.0296,1.48,0.43,0.7167,0.0673,0.9372,0.0312,0.6805,0.0424,0.8365,0.0505,1.15,0.54,0.8001,0.0781,0.8801,0.0338,0.7222,0.0762,CEDice,"[32, 64, 128, 256]",0.0005,0.01,0.4,True,0.1,0.9
0.7877,0.7511,0.3806,0.8113,0.8402,0.3154,0.7794,0.0895,1.51,0.81,0.7357,0.1363,0.8725,0.1354,0.6473,0.1194,0.7279,0.0856,1.75,0.52,0.7416,0.2183,0.8133,0.1663,0.5789,0.0995,0.8087,0.0356,1.42,0.40,0.7820,0.0447,0.8445,0.0823,0.6803,0.0489,0.8407,0.0472,1.12,0.54,0.8324,0.0968,0.8563,0.0182,0.7280,0.0704,FocalTversky,"[64, 128, 256, 512]",0.0001,0.0001,0.4,True,0.1,0.9
0.7872,0.0163,0.5398,0.8078,0.0144,0.5336,0.7801,0.0961,1.42,0.83,0.7584,0.1439,0.8518,0.1510,0.6497,0.1295,0.0150,0.0061,54.88,2.53,0.0075,0.0031,1.0000,0.0000,0.0075,0.0031,0.8028,0.0520,1.32,0.43,0.8123,0.0423,0.8019,0.0988,0.6736,0.0693,0.0158,0.0045,54.58,3.01,0.0079,0.0023,1.0000,0.0000,0.0079,0.0023,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.01,0.2,True,0.5,0.5
0.7869,0.7669,0.2502,0.8036,0.8373,0.2064,0.7775,0.0877,1.68,0.90,0.7176,0.1364,0.8847,0.1002,0.6442,0.1145,0.7256,0.1519,1.44,0.70,0.6596,0.2341,0.9091,0.0891,0.5900,0.1735,0.8021,0.0239,1.65,0.37,0.7541,0.0767,0.8672,0.0474,0.6703,0.0334,0.8371,0.0497,1.12,0.54,0.7812,0.0778,0.9079,0.0468,0.7230,0.0742,CEDice,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.1,0.9
0.7866,0.7586,0.2132,0.8311,0.7982,0.1894,0.7742,0.0787,1.80,0.91,0.6867,0.1195,0.9201,0.0949,0.6381,0.1003,0.7075,0.1673,1.63,0.72,0.6025,0.2187,0.9531,0.0442,0.5720,0.1910,0.8267,0.0239,1.38,0.39,0.7916,0.0427,0.8710,0.0619,0.7052,0.0351,0.8004,0.0612,1.12,0.54,0.7052,0.0852,0.9323,0.0276,0.6715,0.0842,CEDice,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.3,0.7
0.7862,0.7975,0.3132,0.8222,0.8410,0.2556,0.7742,0.0819,1.73,0.80,0.6944,0.1262,0.9117,0.1061,0.6385,0.1049,0.7757,0.0727,1.18,0.31,0.7319,0.1776,0.8854,0.1052,0.6392,0.0955,0.8195,0.0300,1.38,0.41,0.7449,0.0621,0.9163,0.0281,0.6953,0.0436,0.8421,0.0539,1.05,0.58,0.8238,0.0859,0.8654,0.0274,0.7309,0.0796,FocalTversky,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.3,0.7
0.7856,0.0173,0.5284,0.8184,0.0156,0.5199,0.7828,0.0967,1.34,0.84,0.8005,0.1390,0.8165,0.1699,0.6535,0.1308,0.0166,0.0056,68.48,0.66,0.0084,0.0029,0.9998,0.0003,0.0084,0.0029,0.8184,0.0193,1.30,0.33,0.8624,0.0403,0.7832,0.0555,0.6930,0.0273,0.0163,0.0038,68.67,4.63,0.0082,0.0019,1.0000,0.0000,0.0082,0.0019,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.3,0.7
0.7856,0.0130,0.5538,0.8196,0.0119,0.5431,0.7752,0.0967,1.60,0.96,0.7274,0.1532,0.8811,0.1293,0.6428,0.1256,0.0122,0.0057,56.32,2.80,0.0061,0.0029,0.9994,0.0010,0.0061,0.0029,0.8178,0.0428,1.28,0.49,0.7814,0.0527,0.8644,0.0783,0.6939,0.0598,0.0129,0.0036,56.61,4.34,0.0065,0.0018,1.0000,0.0000,0.0065,0.0018,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.1,0.9
0.7842,0.7710,0.2680,0.8212,0.8402,0.2065,0.7774,0.0950,1.44,0.86,0.7317,0.1319,0.8730,0.1466,0.6458,0.1273,0.7474,0.0682,1.57,0.46,0.7425,0.1952,0.8324,0.1473,0.6011,0.0826,0.8174,0.0317,1.28,0.42,0.7732,0.0505,0.8722,0.0597,0.6924,0.0447,0.8389,0.0491,1.15,0.54,0.8242,0.0811,0.8571,0.0235,0.7257,0.0750,CEDice,"[64, 128, 256, 512]",0.0001,0.0001,0.2,True,0.1,0.9
0.7841,0.0176,0.5219,0.8067,0.0150,0.5167,0.7815,0.0976,1.46,0.87,0.7889,0.1371,0.8191,0.1596,0.6519,0.1322,0.0162,0.0066,55.33,2.76,0.0082,0.0034,0.9994,0.0010,0.0082,0.0034,0.8055,0.0494,1.41,0.44,0.8373,0.0443,0.7811,0.0823,0.6772,0.0666,0.0163,0.0045,55.26,3.40,0.0082,0.0023,1.0000,0.0000,0.0082,0.0023,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.0001,0.4,True,0.5,0.5
0.7838,0.0157,0.5356,0.8205,0.0138,0.5259,0.7773,0.1003,1.51,0.95,0.7613,0.1525,0.8485,0.1572,0.6468,0.1349,0.0144,0.0059,55.07,2.49,0.0073,0.0030,1.0000,0.0000,0.0073,0.0030,0.8172,0.0395,1.22,0.51,0.8070,0.0402,0.8345,0.0805,0.6928,0.0551,0.0152,0.0044,54.88,3.21,0.0077,0.0022,1.0000,0.0000,0.0077,0.0022,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.0001,0.2,True,0.1,0.9
0.7835,0.0147,0.5262,0.8059,0.0137,0.5196,0.7817,0.0993,1.42,0.92,0.7874,0.1391,0.8216,0.1608,0.6526,0.1344,0.0139,0.0046,67.70,0.61,0.0070,0.0023,1.0000,0.0000,0.0070,0.0023,0.8028,0.0554,1.22,0.51,0.8329,0.0488,0.7786,0.0789,0.6741,0.0742,0.0145,0.0037,68.34,4.50,0.0073,0.0019,1.0000,0.0000,0.0073,0.0019,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.5,0.5
0.7823,0.7520,0.2655,0.8119,0.7823,0.2398,0.7691,0.0787,1.80,0.91,0.6758,0.1224,0.9304,0.1032,0.6312,0.0989,0.6979,0.1791,1.60,0.84,0.5893,0.2295,0.9626,0.0398,0.5639,0.2038,0.8101,0.0244,1.65,0.37,0.7313,0.0622,0.9160,0.0385,0.6815,0.0344,0.7871,0.0699,1.36,0.60,0.6709,0.0999,0.9659,0.0232,0.6545,0.0957,FocalTversky,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.5,0.5
0.7823,0.7675,0.3642,0.8123,0.8340,0.3134,0.7773,0.0866,1.43,0.72,0.7495,0.1268,0.8548,0.1582,0.6440,0.1165,0.7510,0.0542,1.58,0.52,0.7862,0.1791,0.7913,0.1709,0.6043,0.0696,0.8095,0.0403,1.43,0.40,0.7951,0.0507,0.8278,0.0611,0.6818,0.0548,0.8351,0.0645,1.05,0.58,0.8352,0.1135,0.8422,0.0246,0.7221,0.0947,FocalTversky,"[64, 128, 256, 512]",0.0001,0.0001,0.2,True,0.1,0.9
0.7823,0.0147,0.5268,0.8107,0.0128,0.5192,0.7789,0.1058,1.38,0.81,0.7963,0.1368,0.8152,0.1815,0.6501,0.1419,0.0137,0.0061,56.12,2.84,0.0069,0.0031,0.9994,0.0010,0.0069,0.0031,0.8074,0.0575,1.37,0.43,0.8625,0.0393,0.7672,0.1017,0.6807,0.0770,0.0139,0.0039,56.31,4.11,0.0070,0.0020,1.0000,0.0000,0.0070,0.0020,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.01,0.4,True,0.1,0.9
0.7823,0.7183,0.2631,0.8101,0.7856,0.2272,0.7664,0.0988,1.87,1.01,0.6642,0.1372,0.9425,0.0687,0.6309,0.1204,0.6696,0.1989,1.84,1.00,0.5561,0.2275,0.9642,0.0418,0.5340,0.2062,0.8081,0.0310,1.48,0.43,0.7175,0.0574,0.9303,0.0272,0.6791,0.0438,0.7851,0.0387,1.65,0.37,0.6670,0.0502,0.9576,0.0315,0.6479,0.0525,FocalTversky,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.5,0.5
0.7822,0.7884,0.0503,0.7992,0.8250,0.0371,0.7852,0.1112,1.45,1.04,0.8090,0.1057,0.7942,0.1711,0.6598,0.1471,0.7881,0.0339,1.08,0.28,0.8131,0.1301,0.8005,0.1212,0.6516,0.0465,0.7994,0.0542,1.41,0.57,0.8765,0.0423,0.7415,0.0934,0.6691,0.0731,0.8255,0.0363,1.21,0.48,0.8780,0.0842,0.7829,0.0125,0.7044,0.0517,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.5,0.5
0.7812,0.7652,0.3588,0.8096,0.7960,0.3232,0.7683,0.0841,1.75,0.83,0.6886,0.1359,0.9139,0.1102,0.6310,0.1056,0.7187,0.1556,1.73,0.98,0.6479,0.2421,0.9159,0.0796,0.5827,0.1792,0.8105,0.0325,1.41,0.52,0.7411,0.0730,0.9043,0.0506,0.6827,0.0460,0.7964,0.0501,1.50,0.32,0.7044,0.0714,0.9235,0.0479,0.6646,0.0690,FocalTversky,"[64, 128, 256, 512]",0.0001,0.0001,0.4,True,0.3,0.7
0.7810,0.7415,0.3823,0.8187,0.7988,0.3429,0.7722,0.0992,1.49,0.80,0.7337,0.1481,0.8690,0.1516,0.6395,0.1310,0.6925,0.1453,1.81,0.52,0.6228,0.2265,0.8886,0.0993,0.5478,0.1649,0.8160,0.0300,1.35,0.41,0.7640,0.0425,0.8793,0.0537,0.6902,0.0419,0.8019,0.0626,1.18,0.49,0.7076,0.0857,0.9319,0.0182,0.6737,0.0834,CEDice,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.1,0.9
0.7809,0.7582,0.2118,0.8000,0.8216,0.1724,0.7635,0.1035,1.94,1.12,0.6584,0.1417,0.9476,0.0680,0.6280,0.1247,0.7096,0.1742,1.47,0.76,0.6219,0.2409,0.9409,0.0708,0.5760,0.1943,0.7974,0.0413,1.61,0.44,0.6942,0.0826,0.9487,0.0320,0.6651,0.0583,0.8217,0.0689,1.12,0.54,0.7522,0.0856,0.9097,0.0566,0.7031,0.0972,CEDice,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.3,0.7
0.7809,0.7561,0.3181,0.8119,0.8175,0.2705,0.7642,0.0929,1.80,0.91,0.6620,0.1335,0.9409,0.0775,0.6269,0.1131,0.7101,0.1644,1.67,0.79,0.6206,0.2286,0.9366,0.0738,0.5738,0.1839,0.8094,0.0379,1.60,0.42,0.7199,0.0744,0.9335,0.0281,0.6815,0.0535,0.8167,0.0500,1.21,0.48,0.7411,0.0743,0.9173,0.0591,0.6933,0.0737,FocalTversky,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.3,0.7
0.7807,0.7591,0.1132,0.8017,0.7690,0.1057,0.7776,0.0971,1.32,0.72,0.7664,0.1187,0.8366,0.1771,0.6465,0.1303,0.7500,0.0644,1.41,0.50,0.8305,0.1425,0.7425,0.1862,0.6041,0.0793,0.7999,0.0362,1.40,0.39,0.7987,0.0445,0.8082,0.0806,0.6680,0.0486,0.7678,0.0309,1.83,0.20,0.8647,0.0854,0.7065,0.0905,0.6241,0.0398,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.0001,0.2,True,0.5,0.5
0.7804,0.0130,0.5735,0.8114,0.0115,0.5625,0.7675,0.0945,1.77,0.87,0.7023,0.1521,0.8939,0.1018,0.6317,0.1174,0.0121,0.0044,66.74,0.22,0.0061,0.0022,1.0000,0.0000,0.0061,0.0022,0.8049,0.0287,1.58,0.38,0.7568,0.0512,0.8653,0.0553,0.6745,0.0413,0.0119,0.0024,67.35,4.08,0.0060,0.0012,1.0000,0.0000,0.0060,0.0012,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.01,0.2,True,0.1,0.9
0.7803,0.0122,0.5176,0.7684,0.0115,0.5174,0.7865,0.1259,1.15,0.82,0.8384,0.0820,0.7777,0.1981,0.6647,0.1599,0.0115,0.0054,56.11,2.75,0.0058,0.0027,0.9994,0.0010,0.0058,0.0027,0.7666,0.0347,1.83,0.20,0.8857,0.0357,0.6783,0.0542,0.6227,0.0443,0.0125,0.0036,56.58,4.30,0.0063,0.0018,1.0000,0.0000,0.0063,0.0018,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.1,0.9
0.7800,0.0155,0.5407,0.8215,0.0134,0.5297,0.7694,0.0988,1.56,0.90,0.7235,0.1542,0.8774,0.1422,0.6355,0.1283,0.0144,0.0063,56.19,3.03,0.0073,0.0032,1.0000,0.0000,0.0073,0.0032,0.8186,0.0234,1.38,0.39,0.7820,0.0576,0.8666,0.0565,0.6936,0.0339,0.0146,0.0041,56.18,4.06,0.0074,0.0021,1.0000,0.0000,0.0074,0.0021,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.3,0.7
0.7797,0.0172,0.5480,0.8204,0.0148,0.5370,0.7756,0.0984,1.44,0.86,0.7605,0.1316,0.8360,0.1599,0.6441,0.1321,0.0158,0.0065,55.17,2.65,0.0080,0.0033,0.9983,0.0029,0.0080,0.0033,0.8147,0.0425,1.29,0.45,0.8265,0.0474,0.8099,0.0804,0.6894,0.0590,0.0161,0.0045,55.19,3.36,0.0081,0.0023,1.0000,0.0000,0.0081,0.0023,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.01,0.2,True,0.3,0.7
0.7796,0.0141,0.5176,0.7832,0.0128,0.5159,0.7799,0.1142,1.29,0.79,0.8260,0.1182,0.7752,0.1731,0.6533,0.1509,0.0131,0.0059,55.89,2.76,0.0066,0.0030,0.9987,0.0022,0.0066,0.0030,0.7841,0.0420,1.53,0.47,0.8881,0.0530,0.7070,0.0711,0.6468,0.0556,0.0139,0.0038,55.93,3.90,0.0070,0.0019,1.0000,0.0000,0.0070,0.0019,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.3,0.7
0.7792,0.7601,0.3375,0.8055,0.7933,0.2960,0.7664,0.0756,1.62,0.65,0.6776,0.1243,0.9232,0.1077,0.6271,0.0947,0.7180,0.1413,1.51,0.59,0.6525,0.2382,0.9074,0.0947,0.5781,0.1636,0.8026,0.0356,1.53,0.47,0.7119,0.0673,0.9274,0.0282,0.6718,0.0503,0.7941,0.0688,1.37,0.56,0.7068,0.0945,0.9176,0.0655,0.6640,0.0967,FocalTversky,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.3,0.7
0.7789,0.0180,0.5319,0.8053,0.0154,0.5255,0.7759,0.1074,1.43,0.94,0.7791,0.1405,0.8200,0.1681,0.6465,0.1442,0.0166,0.0067,54.78,2.55,0.0084,0.0034,0.9996,0.0006,0.0084,0.0034,0.8014,0.0527,1.31,0.40,0.8081,0.0570,0.8005,0.0838,0.6717,0.0700,0.0168,0.0046,54.77,3.05,0.0085,0.0023,1.0000,0.0000,0.0085,0.0023,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.0001,0.2,True,0.5,0.5
0.7785,0.7762,0.2372,0.8089,0.7940,0.2064,0.7686,0.0846,1.63,0.67,0.6922,0.1206,0.9038,0.1296,0.6317,0.1099,0.7292,0.1607,1.38,0.81,0.6446,0.2288,0.9362,0.0672,0.5972,0.1857,0.8045,0.0416,1.40,0.41,0.7330,0.0716,0.8986,0.0508,0.6750,0.0581,0.7970,0.0753,1.50,0.61,0.6993,0.1056,0.9368,0.0332,0.6692,0.1069,CEDice,"[32, 64, 128, 256]",0.0005,0.0001,0.2,True,0.1,0.9
0.7782,0.7590,0.3011,0.7918,0.8295,0.2603,0.7645,0.0894,1.73,0.80,0.6848,0.1441,0.9135,0.1058,0.6267,0.1103,0.7203,0.1284,1.45,0.64,0.6928,0.2353,0.8555,0.1246,0.5773,0.1442,0.7895,0.0369,1.60,0.36,0.7074,0.0577,0.8988,0.0519,0.6537,0.0500,0.8271,0.0597,1.37,0.55,0.7864,0.0880,0.8774,0.0547,0.7097,0.0899,CEDice,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.1,0.9
0.7765,0.7447,0.3718,0.8029,0.7965,0.3282,0.7636,0.0813,1.70,0.69,0.6796,0.1282,0.9123,0.1085,0.6243,0.1020,0.6981,0.1590,1.61,0.73,0.6218,0.2287,0.9037,0.0784,0.5575,0.1749,0.7981,0.0483,1.39,0.44,0.7205,0.0591,0.9006,0.0753,0.6667,0.0657,0.7973,0.0529,1.32,0.32,0.7032,0.0718,0.9262,0.0390,0.6661,0.0716,FocalTversky,"[64, 128, 256, 512]",0.0001,0.0001,0.2,True,0.3,0.7
0.7765,0.7447,0.1334,0.8196,0.8327,0.0980,0.7706,0.1038,1.52,0.96,0.7430,0.1486,0.8553,0.1616,0.6384,0.1382,0.7293,0.0671,1.69,0.40,0.7798,0.1870,0.7658,0.1865,0.5785,0.0848,0.8151,0.0276,1.34,0.38,0.7833,0.0432,0.8561,0.0695,0.6888,0.0387,0.8327,0.0403,1.05,0.58,0.8463,0.0934,0.8265,0.0291,0.7155,0.0591,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.0001,0.2,True,0.1,0.9
0.7759,0.7527,0.2185,0.8002,0.8377,0.1770,0.7584,0.0928,1.83,0.88,0.6477,0.1317,0.9519,0.0666,0.6192,0.1115,0.7016,0.1626,1.61,0.86,0.6149,0.2272,0.9194,0.0621,0.5633,0.1840,0.7984,0.0335,1.56,0.44,0.7112,0.0675,0.9188,0.0426,0.6658,0.0469,0.8383,0.0475,0.93,0.38,0.7670,0.0844,0.9325,0.0352,0.7245,0.0717,CEDice,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.3,0.7
0.7756,0.0161,0.5368,0.8108,0.0140,0.5273,0.7696,0.1024,1.55,0.96,0.7438,0.1374,0.8491,0.1685,0.6369,0.1369,0.0149,0.0063,55.60,2.73,0.0075,0.0032,1.0000,0.0000,0.0075,0.0032,0.8077,0.0496,1.29,0.45,0.8057,0.0417,0.8172,0.0942,0.6802,0.0670,0.0152,0.0042,55.54,3.59,0.0077,0.0021,1.0000,0.0000,0.0077,0.0021,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.0001,0.4,True,0.1,0.9
0.7748,0.7573,0.3182,0.7886,0.8361,0.2673,0.7598,0.0897,1.81,0.86,0.6671,0.1391,0.9281,0.0974,0.6205,0.1090,0.7207,0.1078,1.71,0.46,0.7003,0.2099,0.8373,0.1469,0.5738,0.1240,0.7868,0.0264,1.63,0.38,0.6941,0.0586,0.9169,0.0497,0.6493,0.0362,0.8371,0.0579,0.98,0.60,0.7856,0.0916,0.9013,0.0228,0.7240,0.0851,CEDice,"[32, 64, 128, 256]",0.0001,0.0001,0.2,True,0.1,0.9
0.7746,0.7570,0.2528,0.7910,0.8050,0.2179,0.7599,0.0889,1.73,0.80,0.6564,0.1264,0.9374,0.0792,0.6205,0.1084,0.7083,0.1620,1.62,0.96,0.6336,0.2396,0.9116,0.0709,0.5714,0.1843,0.7882,0.0321,1.58,0.34,0.6915,0.0712,0.9272,0.0466,0.6517,0.0443,0.8087,0.0674,1.05,0.58,0.7209,0.1000,0.9305,0.0112,0.6841,0.0922,CEDice,"[64, 128, 256, 512]",0.0001,0.01,0.4,True,0.3,0.7
0.7746,0.7208,0.6574,0.7872,0.7466,0.6555,0.7582,0.1002,1.79,0.89,0.6531,0.1387,0.9437,0.0740,0.6202,0.1202,0.6700,0.1715,1.72,0.64,0.5591,0.2174,0.9425,0.0410,0.5282,0.1900,0.7854,0.0248,1.69,0.26,0.6866,0.0629,0.9271,0.0459,0.6473,0.0339,0.7526,0.0768,1.32,0.43,0.6360,0.1070,0.9394,0.0310,0.6093,0.0966,FocalTversky,"[32, 64, 128, 256]",0.0001,0.0001,0.4,True,0.1,0.9
0.7741,0.7717,0.3476,0.7926,0.8308,0.3071,0.7580,0.1012,1.80,0.91,0.6522,0.1374,0.9428,0.0669,0.6202,0.1216,0.7296,0.1531,1.55,0.73,0.6627,0.2348,0.9118,0.0824,0.5956,0.1773,0.7892,0.0356,1.45,0.37,0.6820,0.0597,0.9423,0.0318,0.6532,0.0492,0.8323,0.0655,1.05,0.58,0.7650,0.0962,0.9191,0.0349,0.7180,0.0950,FocalTversky,"[64, 128, 256, 512]",0.0001,0.01,0.4,True,0.3,0.7
0.7733,0.7455,0.1815,0.8005,0.7642,0.1637,0.7589,0.0878,1.77,0.86,0.6577,0.1247,0.9325,0.0890,0.6191,0.1075,0.6906,0.1770,1.60,0.67,0.5764,0.2206,0.9650,0.0362,0.5541,0.1985,0.7981,0.0382,1.52,0.52,0.7085,0.0609,0.9192,0.0405,0.6657,0.0533,0.7677,0.0660,1.43,0.58,0.6460,0.0831,0.9532,0.0360,0.6277,0.0873,CEDice,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.5,0.5
0.7725,0.7523,0.3146,0.8148,0.8423,0.2456,0.7620,0.0937,1.62,0.80,0.7016,0.1427,0.8889,0.1446,0.6246,0.1201,0.7189,0.1387,1.65,0.63,0.6815,0.2389,0.8708,0.1175,0.5779,0.1547,0.8115,0.0311,1.40,0.42,0.7411,0.0467,0.9022,0.0580,0.6840,0.0442,0.8415,0.0591,1.05,0.58,0.7962,0.0883,0.8966,0.0361,0.7310,0.0892,CEDice,"[32, 64, 128, 256]",0.0001,0.01,0.2,True,0.1,0.9
0.7725,0.7648,0.3938,0.8218,0.8416,0.3248,0.7652,0.0999,1.59,0.91,0.7392,0.1422,0.8501,0.1690,0.6304,0.1317,0.7305,0.1349,1.48,0.73,0.7015,0.2439,0.8694,0.1167,0.5917,0.1531,0.8203,0.0228,1.38,0.39,0.7997,0.0520,0.8500,0.0685,0.6960,0.0324,0.8403,0.0485,1.12,0.54,0.7976,0.0713,0.8918,0.0437,0.7276,0.0736,FocalTversky,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.1,0.9
0.7725,0.7678,0.2526,0.8090,0.7955,0.2200,0.7551,0.0939,2.79,2.49,0.6510,0.1386,0.9410,0.0783,0.6150,0.1121,0.7142,0.1551,1.49,0.68,0.6108,0.2118,0.9446,0.0389,0.5775,0.1830,0.8048,0.0379,1.65,0.38,0.6972,0.0712,0.9603,0.0246,0.6751,0.0539,0.8003,0.0666,1.21,0.48,0.7110,0.1020,0.9287,0.0251,0.6721,0.0906,FocalTversky,"[32, 64, 128, 256]",0.0005,0.0001,0.2,True,0.5,0.5
0.7721,0.0089,0.5947,0.7906,0.0081,0.5878,0.7561,0.0964,1.83,0.88,0.6641,0.1475,0.9278,0.0965,0.6169,0.1157,0.0085,0.0044,57.79,2.82,0.0043,0.0022,1.0000,0.0000,0.0043,0.0022,0.7884,0.0312,1.57,0.46,0.7043,0.0492,0.9022,0.0613,0.6518,0.0426,0.0087,0.0022,58.53,5.26,0.0044,0.0011,1.0000,0.0000,0.0044,0.0011,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.0001,0.4,True,0.3,0.7
